"","date","open","high","low","close","volume","adjusted","symbol"
"1",2021-12-31,79,79.2,78.4,78.8,422000,78.8,"VCB"
"2",2021-12-30,79.8,79.9,77.7,78.4,1009300,78.4,"VCB"
"3",2021-12-29,79.5,79.8,79.1,79.5,440000,79.5,"VCB"
"4",2021-12-28,80,81,78,80,2368800,80,"VCB"
"5",2021-12-27,78.9,80.3,77.9,79.8,934100,79.8,"VCB"
"6",2021-12-24,76.8,78.5,76.8,78.5,849400,78.5,"VCB"
"7",2021-12-23,77.5,78.9,76.5,76.5,1489000,76.5,"VCB"
"8",2021-12-22,77,77.8,76.6,76.9,1915300,76.9,"VCB"
"9",2021-12-21,99,99.8,98.5,98.9,774100,76.57,"VCB"
"10",2021-12-20,98.5,99.5,98.1,99.5,841900,77.03,"VCB"
"11",2021-12-17,100,100,96.5,96.5,3475700,74.71,"VCB"
"12",2021-12-16,100.8,100.8,98.1,99.1,1047100,76.72,"VCB"
"13",2021-12-15,99.5,100.7,99,99.9,837300,77.34,"VCB"
"14",2021-12-14,99.6,100.5,99.1,99.3,862300,76.88,"VCB"
"15",2021-12-13,102,102,99.2,99.6,1098000,77.11,"VCB"
"16",2021-12-10,101,102.8,99.9,100,1934200,77.42,"VCB"
"17",2021-12-09,97.4,99.4,97.3,99.2,960000,76.8,"VCB"
"18",2021-12-08,98,99.4,98,98.7,507500,76.41,"VCB"
"19",2021-12-07,96.1,99.4,96.1,98.2,873000,76.03,"VCB"
"20",2021-12-06,98,100,95.4,95.4,1091600,73.86,"VCB"
"21",2021-12-03,99.2,100.8,97.5,98,795900,75.87,"VCB"
"22",2021-12-02,100.3,100.8,98.8,99.1,787700,76.72,"VCB"
"23",2021-12-01,99.4,101.5,98.3,99,634500,76.65,"VCB"
"24",2021-11-30,104,104,98.9,98.9,1336500,76.57,"VCB"
"25",2021-11-29,103.3,104.9,101,101.1,851000,78.27,"VCB"
"26",2021-11-26,106.7,108.2,104,105,962600,81.29,"VCB"
"27",2021-11-25,105,108,104.6,107.1,1557500,82.92,"VCB"
